"ID","Title","Description","Content","Category"
"18","Run Spring Boot App on Raspberry Pi","","","ToDo"
"19","Chinese Character Encoding in Java","","1. Relationship Between UTF-16 UTF-8 and Unicode
Each character, whether ASCII or a Chinese character, corresponds to a Unicode code point. UTF-16 and UTF-8 are encoding schemes used to encode Unicode.

2. How java store a Chinese character
1)Java use strings to store Chinese characters. 
2)From my experience, A character has two coding schemes:  physically it is stored as UTF-16 encodings, but as a char array, its value is a Unicode code point. 

In java, a character is encoded with utf-16 and its length is two byte.
For example 丰 0x4E30 E4 B8 B0 ,  its Unicode code point is 0x4e30   and  its raw data is E4b8b0. A Chinese character is represented  as a string to support lengths of greater than two. 

3. How JSOUP Decodes Chinese Character
1.) Specify charsetname in its parse method. In my case, it is ""GBK"".
2)  Check HTML meta tag for its encoding type. In my case it is a Chinese encoding
","HowItWorks"
"20","JSOUP Dependency Not Included in Eclipse Maven Project JAR","","My Eclipse Maven project isn't bundling the JSOUP dependency into the JAR file, causing failures when running the JAR due to missing JSOUP. Upon inspecting the JAR file with an editor, I found no JSOUP information in its meta file, despite including the 'jsoup' dependency in my pom file.

Workaround:
Successfully ran the application via CLI  interface using ""java""  command .  In the command  I specified both JSOUP path and my project class file path in the parameter ""classpath"". 

Next Steps:
As suggested by ChatGPT, I'll explore using the JAR command to build the application JAR by specifying the JSOUP JAR.


","Bug Fix"
"21","Java Map ","","","Java"
"22","Improve Chinese Test","","1. Add testing for Chinese strokes, writing and so on.
  ","ToDo"
"23","Chinese Character Test Submit Wrong","","Issue Symptom:
When submitted to the service endpoint ""/test"", all test problems created in the database have empty fields except IDs.
                   
Issue Diagnosis: 
1. Check Transmission.
    Analyzed HTTP messages captured by Wireshark, but relevant HTTP messages are too large to decode.
2.  Inspect the Problem Objects 
   It was observed that these object properties were all empty values, indicating an issue with data population.

Root Cause: Data Population Issue:
   The root cause of the problem lies in accessing problem fields by their indices within a table row. This method leads to errors when the row structure changes, as seen when a new field was added.

Solution:
  To address the issue, problem fields should be accessed by their names instead of their indices. This approach ensures that changes in the row structure do not affect data retrieval.

","Bug Fix"
"24","character test have some empty lines","","problem is the string end with 0d0a0d0a.
1. use this command to determine if description field has 0d0a
SELECT *
FROM math_problem
WHERE id = 197
AND description LIKE CONCAT('%', CHAR(13), CHAR(10), '%');

2. or use this to show description hex code
SELECT id, HEX(description)
FROM math_problem
WHERE id = 197;

3. use this to remove 0d0a
UPDATE math_problem
SET description = REPLACE(description, UNHEX('0D0A'), '')
WHERE id = 197;","Database"
"26","Add More Options at the Entrance Page ""test"".","","Issue Symptom:
Chinese tests for ""短句"" 和 “生字” only offer the option ""一级"". Additional options such as ""二级“， ”三级“ and beyond are required.

Solution:
Add more options in ""select"" element as shown below.
<div id=""subcategorySelectDiv"" style=""display: none;"">
    <label for=""subcategory"">Subcategory:</label>
    <select id=""subcategory"" name=""subcategory"">
        <option value=""一级"">一级</option>
        <option value=""二级"">二级</option>
        <option value=""三级"">三级</option>
    </select>
</div>
","Bug Fix"
"27","""no spelling"" Option is not Working","","Issue Symptom:
An option ""no spelling"" in the test page did not take effect.

Issue Diagnosis:  
1.  Check HTML 
   Found no problem. This option is represented by a checkbox, and by default, it is not checked.  When checked and submitted,  the URL parameter should include ""noSpelling=true"" 

2. Check Server Side Code
   The server expects this parameter in the URL and will automatically convert it into a boolean type, passing it as an input parameter to corresponding handler. 

Root Cause:
Mismatch between the parameter name expected by the server-side (Spring) and that used in the client-side (JavaScript). Server-side expects parameter name ""noSpellingCheckBox"" but client-side uses ""noSpelling"".

","Bug Fix"
"28","add row index in 短句 table in html","obsolete","Index should be added to the rows of the HTML ""duanju"" table as in the HTML ""字""table
 
To implement this, we can add a caption in the HTML table head and  a td element in HTML table body. The td element in the body should include a property of Thymeleaf style which will be evaluated by Thymeleaf to be the value of the row index.

","ToDo"
"29","The Application Within Docker Is Not Up-To-Date.","","I opened its JAR file with an editor  and discovered that an HTML was an old version.
After running 'mvn clean compile' to generate a new JAR file, it now functions properly.
","Bug Fix"
"30","Create a batch file for Docker application. ","obsolete","The batch file perform the following tasks: create a JAR file, build a Docker image, and run the image.","ToDo"
"32","Some tabs in the HTML table for memos are displaying no data.","","two important type of divs in this html.
first is a list of tabs created by UL/LI with some bootstrap class like NAV. in each li , there is a link PREF point to id which is DIV marked by category name. Each of these divs contains a table of memos under a category. 
Click event is registered for all these LI components and it will show the corresponding table once this link gets clicked.

a map of list of memo is passed to HTML.
you need to do two iterations to go through map. but for tr/td, there is only one iteration, so a th: block is used to do a iteration, this is a feature of thymeleaf to allow virtualization when rendering HTML. it is like embedded some code during HTML rendering

another problem is id does not support space between words. so category with multiple words cannot be used as a valid id for a div, and href cannot link to it. the solution is use a thymeleaf expression to replace space with ""-""","Bug Fix"
"33","GIT/GITHUB","","git config --global user.name ""johnny weng""
git config --global user.email ""johnny.weng@gmail.com ""
git config --global init.default branch main
git init   //create a repository
git add  *  // track file
git  rm --cache file1  // untrack file1, file1 is a file just added by ""git add""
.gitignore for listing files to ignore
git commit -m """" //commit","Configuration Management"
"35","Add a new category ""生字"" in the table ""math_problem""","obsolete","The subject ""chinese"" is for Chinese records in the ""math_problem"" table. It has category ""短句“/""生字“/”练习“ .              
The project has a ""字库"" file which include all Chinese characters and their associated information such as pinyin and radical.
For every new Chinese character in ""短句""record, we want to create a separate record  as ""生字"" category. Its description field stores the string of this character and its solution field stores the information for that character in the “字库"" file  
","ToDo"
"36","Create a Character DIC From a Web Site",""," JSOUP library can do this work
1: Connect to URL and download
2. Parse this web page into a JSOUP document 
3. Walk through the component list of this document.

There is a web site  that include the following:
1 A page which include all radicals ordered by stroke number
2 For each radical, there is a  page which includes  all associated Chinese characters ordered by stroke number.

We create a  Chinese dictionary in the form of map<String, Character> by parsing this web site with JSOUP.  String represent a Chinese character and Character is an object that includes information about corresponding Chinese character.
  
JSON library is used to serialize the map to a JSON file.","Java"
"37","Javascript Manipulates the Properties of HTML Elements. ","","1. Control the display of a row in HTML table.
    a) In the event listener for the event ""DOMContentLoaded"", iterate through the HMTL table.
    b) Hide a row with:
      row.style.display = ""none"";

","Javascript and HTML"
"39","Based on current chinese test paper, add a test function","","basic idea is: with all duanju and zi in the table. you start a test with a range of duanju selected. this test is a series of test include duanju and zi. duanju and zi will be tested twice with their location changed randomly.

to do this, 

1. remove the unwanted rows when starting the test.

2. shuffle the rows of table
","worklog"
"42","How to Add 生字","how to use test","1） visit http://localhost:8080/math/add-chinese
   input 一级 and click on fetch data. 
   all 短句 and 生字表 will show up.
   you choose 生字 since the latest in the database

2) use add math problem web page, input category=生字 subcategory=x级 , it will batch add all .

","HowTo"
"43","Answers Not Removed for the Next Round of Test","","After submitting each round of the tests,  except for the last round, the answer fields should be cleared for the next round.","Bug Fix"
"49","How ""chinese_test_paper"" html works","","1. This page is one of the pages for the service endpoint /test_subject. It is selected when it is a Chinese test.
2. There are three cateogires: duanju, shengzi and lianxi. 
    Duanju:  the table with all duanju and shengzi regardless the range preconfigured in the page 
   shengzi:  the table will contain the shengzi in the category that the client request
   lianxi:   same as shengzi
3. filtering of the table
   In the duanju test, server side returns all the records but only the records within the range specified will be displayed. The records that are out of the range will be masked by setting their display property to ""none"" during the initialization. All records of the shengzi category should also be masked.
4. actions when click on starting test
    almost all buttons should be disabled.
    the records that are not in the test range should be removed.   
    
 ","HowPageWorks"
"50","How the page /memo_obsolete works","JavaScript

This page should be obsolete","This page enables users to perform three actions: create new memos, view a list of memo titles displayed as buttons, and edit existing memos using a form. Clicking on a memo button retrieves its details and displays them in the form for editing. After making changes, users can simply click the update button to submit their edits.


1 Page Layout:
    1. Divided into two containers: left and right.
    2. Left container displays a list of memo buttons (rendered with UL/LI elements via Thymeleaf).
    3. Right container hosts a form for editing the selected memo.
    4. Form's default submit action is overwritten to submit to the endpoint ""/memo/update/{memo id}"". 

2  Event Listeners:
    1.  For the event ""DOMContentLoaded""
          Register an event listener for click on UL/LI elements.
     2.  For the click event on UL/LI
          Identify the clicked button , extract its memo ID,
          Send GET request to service point ""/memo/update/{memo id}""
          Update the form with the memo details in the HTTP response. 
     3.  For the form submit event
          Disable default form submission. 
          Using Ajax to send POST request with the form data to service point ""/memo/update/{memo id}""     

","HowPageWorks"
"52","How Page /memo Works","","","HowPageWorks"
"53","Wrting Tips","1. for a long in/within/etc clause, you can use a comma to separate it with main sentence
2. Assign the class name ""left-container"" to one '<div>'. This is simple way to say assign attribute ""class"" a value ""left-container"". ","","Writing"
"54","JQeury","","1. Create a button click function that triggers a GET request and display the response message in an alert window.
    This code simultaneously registers two functions: the first handles the button click event, and the second serves as the response handler
  $('#getArchive').click(function() {  
          // Send GET request to /archive
          $.get(""/memo/archive"", function(data, status){
           // Display response message in a pop-up window                         
            alert(""Data: "" + data + ""\nStatus: "" + status); 
           });
        });
      Please compare this button  with the ""new memo"" button above it. The ""new memo"" button click function is defined inside the HTML button element and it will trigger a switch to a new webpage to add new memo while this ""archive"" button will only trigger a save action at backend and will not switch page.   
  

","Javascript and HTML"
"55","Create a SQL view","","","Database"
"56","Maven","","1. Designate Maven Repository.
   The ChineseTxt Project has only one dependency, a EPUB module, which requires its own repository rather than the default Maven ones. We introduce a repository entry for it to replace Maven default ones in the POM file. 
    Note: Alternatively we can configure its repository address within the ""url"" parameter of the dependency entry for the EPUB module without changing the default repository for the whole project.

2. Installation of a Java application ""Radical"" to the Maven repository allows the project ""MVC"" to use it.
   The project ""MVC"" includes a resource file “中文字库.txt” which contains mappings for Chinese characters and their associated information, such as spelling and  stroke count.  
   To parse this file , a JSON library is utilize to convert it into a map structure of Map<String, ChineseCharacter>. ChineseCharacter is defined in the project ""Radical"" , requiring the inclusion of ""Radical"" as a dependency of the project ""MVC"" .
    
3. Build plugins
  Build plugins are tools or extension that execute during Maven build process. In my project's POM files, the following two plugins have been introduced 
  1. maven-jar-plugin.
      This plugin packages the compiled class files and resources into a JAR file.
   2.  maven-compiler-plugin
      By default  this extension will automatically be utilized by the build process to compiles the Java source files. By specifying  it explicitly you can overwrite its default configurations to tailor it to your project requirements. I include it to specify source java version  used by compiler to solve a compiler warning in one of my project.   

","Configuration Management"
"57","parameter binding in Spring Boot controller method","Spring Boot controller method parameter binding ","@PostMapping(""/test-rest"")
    public ResponseEntity<List<MathProblem>> handleRequestBody(
    	    @RequestParam TestSubjectType subject,
    	    @RequestParam(name = ""category"", required = false) String category,
      	    @RequestParam(name = ""subcategory"", required = false) String subcategory,
    	    @RequestBody String requestBody)
    
1. Spring Boot binds parameters annotated with @RequestParam to the corresponding query parameters in the Request URL.
2. If required = false is set, this parameter is optional.
3. A customized parameter can be  specified using 'name = """"' ","Java"
